Month,Year,Patch_Date,KB_Number,Version,OS,Title,Description,Download_URL,Severity,CVE_Count,Is_Latest
August,2026,2026-08-12,KB5041585,26200.3915,Windows 11 25H2,2026-08 Cumulative Update for Windows 11 Version 25H2,Monthly security and quality update for Windows 11 25H2 addressing critical vulnerabilities including remote code execution and elevation of privilege flaws across kernel and networking components.,https://catalog.update.microsoft.com/Search.aspx?q=KB5041585,Critical,90,TRUE
August,2026,2026-08-12,KB5041586,26120.3915,Windows 11 24H2,2026-08 Cumulative Update for Windows 11 Version 24H2,Monthly cumulative update for Windows 11 24H2 with security fixes addressing vulnerabilities in Windows Defender SmartScreen and MSHTML.,https://catalog.update.microsoft.com/Search.aspx?q=KB5041586,Critical,90,FALSE
August,2026,2026-08-12,KB5041587,22621.4169,Windows 11 23H2,2026-08 Cumulative Update for Windows 11 Version 23H2,Monthly cumulative update for Windows 11 23H2 with security fixes and reliability improvements for supported enterprise environments.,https://catalog.update.microsoft.com/Search.aspx?q=KB5041587,Critical,90,FALSE
July,2026,2026-07-08,KB5040442,26200.3775,Windows 11 25H2,2026-07 Cumulative Update for Windows 11 Version 25H2,July security update addressing vulnerabilities in Windows kernel and networking components for Windows 11 25H2.,https://catalog.update.microsoft.com/Search.aspx?q=KB5040442,Critical,78,FALSE
July,2026,2026-07-08,KB5040443,26120.3775,Windows 11 24H2,2026-07 Cumulative Update for Windows 11 Version 24H2,July cumulative update for Windows 11 24H2 with critical security and reliability fixes.,https://catalog.update.microsoft.com/Search.aspx?q=KB5040443,Critical,78,FALSE
July,2026,2026-07-08,KB5040444,22621.3958,Windows 11 23H2,2026-07 Cumulative Update for Windows 11 Version 23H2,July cumulative update for Windows 11 23H2 with security patches.,https://catalog.update.microsoft.com/Search.aspx?q=KB5040444,Important,78,FALSE
June,2026,2026-06-10,KB5039212,26200.3624,Windows 11 25H2,2026-06 Cumulative Update for Windows 11 Version 25H2,June security update with fixes for remote code execution vulnerabilities in Windows 11 25H2.,https://catalog.update.microsoft.com/Search.aspx?q=KB5039212,Critical,65,FALSE
June,2026,2026-06-10,KB5039213,26120.3624,Windows 11 24H2,2026-06 Cumulative Update for Windows 11 Version 24H2,June cumulative update for Windows 11 24H2 with security and reliability improvements.,https://catalog.update.microsoft.com/Search.aspx?q=KB5039213,Critical,65,FALSE
June,2026,2026-06-10,KB5039214,22621.3737,Windows 11 23H2,2026-06 Cumulative Update for Windows 11 Version 23H2,June cumulative update for Windows 11 23H2.,https://catalog.update.microsoft.com/Search.aspx?q=KB5039214,Important,65,FALSE
May,2026,2026-05-13,KB5037771,26200.3476,Windows 11 25H2,2026-05 Cumulative Update for Windows 11 Version 25H2,May security update addressing elevation of privilege and spoofing vulnerabilities in Windows 11 25H2.,https://catalog.update.microsoft.com/Search.aspx?q=KB5037771,Critical,55,FALSE
May,2026,2026-05-13,KB5037772,26120.3476,Windows 11 24H2,2026-05 Cumulative Update for Windows 11 Version 24H2,May cumulative update for Windows 11 24H2 with security and reliability improvements.,https://catalog.update.microsoft.com/Search.aspx?q=KB5037772,Critical,55,FALSE
May,2026,2026-05-13,KB5037773,22621.3593,Windows 11 23H2,2026-05 Cumulative Update for Windows 11 Version 23H2,May cumulative update for Windows 11 23H2.,https://catalog.update.microsoft.com/Search.aspx?q=KB5037773,Important,55,FALSE
